transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status
0xcc3a913fdc9b99c3f8e0dca770b24f194431c35ce0abfd9193b2fd06bd27f179,1,0xbb4833342f6ff38e859826e7eea1424aacb0295c4d6a902e7baaacf5da102ffd,3000019,199617,91257,,,1
0xca13e9997b8ff23484466570e317b1897da82b4001691df322450c6172328553,0,0x31c9704304b722e43a1393c97f34a27442d3f202971b1554b8298067ee8d637a,3000100,159175,159175,,,1
0xfca6d9294d01d3c0aeef91282ec79fabb56f52df0d4be25eff3270aef53a8e47,2,0xbb4833342f6ff38e859826e7eea1424aacb0295c4d6a902e7baaacf5da102ffd,3000019,220756,21139,,,1
0xb6232d73bb1f96c4f380c9b654dc5ef444c779d3aac07ca6b0125a5f3ec3eb23,3,0xbb4833342f6ff38e859826e7eea1424aacb0295c4d6a902e7baaacf5da102ffd,3000019,241895,21139,,,1
0x8698351fb61bea44c588a68ece0a62d2d59a0c8e227651a6821e01ad88dd2f97,5,0x774d729fd31f6e9621dbf8d6a878fb8b7c30308a2d6ebb3c0f98b0f0e01a8f5c,3000031,297697,71593,,,1
0xacf5805072540f60072a611a6d8562a0ca9e8a5c296978fbed59c1123254726a,4,0xbb4833342f6ff38e859826e7eea1424aacb0295c4d6a902e7baaacf5da102ffd,3000019,262895,21000,,,1
0x468f606b4d2bcf09458c71adb063afec64821ec6afb341a571ca1264a0f7b5cc,5,0xbb4833342f6ff38e859826e7eea1424aacb0295c4d6a902e7baaacf5da102ffd,3000019,334488,71593,,,1
0x8d84b169442508b599c476b3085e93eede99b5abd3d099fb8d11c9b7f718b22a,6,0x774d729fd31f6e9621dbf8d6a878fb8b7c30308a2d6ebb3c0f98b0f0e01a8f5c,3000031,318836,21139,,,1
0x69d485163082714252739231967ddaea6dc6998873bef8e4abe95466587b3333,6,0xbb4833342f6ff38e859826e7eea1424aacb0295c4d6a902e7baaacf5da102ffd,3000019,417848,83360,,,1
0xb09acf131b02dd386abb696cd100e44da5e8676ab16052f7a63a8447647bf71f,7,0x774d729fd31f6e9621dbf8d6a878fb8b7c30308a2d6ebb3c0f98b0f0e01a8f5c,3000031,394610,75774,,,1
0xeb6a021beaabbb052c0886b6c77ed416fe8bea084e60fd55607a38bd317b0cb2,0,0x452320d43fac5fda5c450bc3eb5a0fec45c8d473d4e16f1312126be8141e9f13,3000021,110208,110208,,,1
0x51a083c0d7b76221d6f6cf7e08ba6fcce484d12b036322fa737dc61c1b959957,8,0x774d729fd31f6e9621dbf8d6a878fb8b7c30308a2d6ebb3c0f98b0f0e01a8f5c,3000031,466203,71593,,,1
0xa52813e2a41d573438e2f719ebaa0f5a79bc04abcbcae6840033848f9dccf8f3,7,0xbb4833342f6ff38e859826e7eea1424aacb0295c4d6a902e7baaacf5da102ffd,3000019,438975,21127,,,1
0xe92b80c337765a511390a5eb02b6aa93ccf8a58f0fdf35b1182ab25fbf096a55,1,0x31c9704304b722e43a1393c97f34a27442d3f202971b1554b8298067ee8d637a,3000100,261301,102126,,,1
0xfe5f977e5e59893a24ff2bfc5230a13a29dc27a6a684bc850dcfc3b783bacef3,8,0xbb4833342f6ff38e859826e7eea1424aacb0295c4d6a902e7baaacf5da102ffd,3000019,460102,21127,,,1
0x212fe3d2ab3688a177ce9ec3f24c9b7ca663f3e8aad5e0c551276e12062f9e98,9,0xbb4833342f6ff38e859826e7eea1424aacb0295c4d6a902e7baaacf5da102ffd,3000019,531695,71593,,,1
0xe58cdefa773999af8d722a77038474b3ec40211cb4c807dd9a46d8c3db17a44c,4,0xf6d4cf85fc253fa05df4bd054ff13461ad96e48e968bb57a00c4b2da1a408f00,3000041,226231,71593,,,1
0x527c3efc6ffc3cf4f3c40f2f0156136938a63535186395206f4bbbfaeb072560,9,0x774d729fd31f6e9621dbf8d6a878fb8b7c30308a2d6ebb3c0f98b0f0e01a8f5c,3000031,553763,87560,,,1
0x0c1f9cb02a51c14eeecbbe9aeabe9f0c65ae173d79126ab961f1d508f94ef4f8,1,0x452320d43fac5fda5c450bc3eb5a0fec45c8d473d4e16f1312126be8141e9f13,3000021,131347,21139,,,1
