address,symbol,name,decimals,total_supply,block_number
0x78650b139471520656b9e7aa7a5e9276814a38e9,BTCST,StandardBTCHashrateToken,17,1500000000000000000000000,
0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,ADA,Cardano Token,18,280000000000000000000000000,
0xaf169e53e9f07de6f9f4eac67e2833c623f0c122,TORPEDO,Torpedo,9,1000000000000000000000000,
0x5a41f637c3f7553dba6ddc2d3ca92641096577ea,JulD,JulSwap,18,799383875350040218136052505,
0x9001ee054f1692fef3a48330cb543b6fec6287eb,STEEL,IRON Share V2,18,47666574086087757423150740,
0xf2df8458130f00c94bcde2dd3f288cf608187f87,FEAST,FEAST.finance,9,1000000000000000000000000,
0xe361344013cc906c56bba111bde00c421852c73b,MBS,MoonBoys,9,1000000000000000000000000,
0x069b2619eb24367a46fda638bd1b88aa4dad7879,MNDAO,MoonDao,9,1000000000000000000000000,
0x09cb618bf5ef305fadfd2c8fc0c26eecf8c6d5fd,MDEX LP,MDEX LP Token,18,765125551256743769533060,
0xdcd289ecf644bec54393ba6ce8db35e9b5ff75e7,FLUNAR,FairLunar,9,1000000000000000000000000,
0x5ac52ee5b2a633895292ff6d8a89bb9190451587,BSCX,BSCX,18,9983396000000532846602068,
0x200062b9e36cfa697cb49b74ea556706e67e5091,Cake-LP,Pancake LPs,18,22693064248574725474102,
0x5448d402466413ac558eb29a670e1d0fadf54bd8,APACHE,Apache,18,55395507991098306228878,
0xa1d156c47eb4c5b8dabd8031c69085fbb9f95ff5,Cake-LP,Pancake LPs,18,873471636392187719861,
0x889e81d25bffba437b2a5d3e0e4fc58a0e2749c5,Cake-LP,Pancake LPs,18,149177053650904311540,
0xbcf39f0edda668c58371e519af37ca705f2bfcbd,pCWS,PolyCrowns,18,10000000000000000000000000,
0x0321394309cad7e0e424650844c3ab3b659315d3,XBC,XBN Community Token,9,1000000000000000000000000,
0x3d46a4b06a1a182c4e6a3862e940881715a993a1,REALMADRIDFC,Real Madrid FC,18,10000000000000000000000000000000,
